alpha,beta,logL,sub,reward,sim
0.3740625,1.669375,-130.000682757,101,acc,none
0.338125,2.406875,-131.27948815,101,acc,exp
0.3490625,2.144375,-130.798323141,101,acc,gauss
0.288125,2.4615625,-131.600150843,101,acc,rdis
0.3740625,1.669375,-130.000682757,101,gl,none
0.338125,2.406875,-131.27948815,101,gl,exp
0.3490625,2.144375,-130.798323141,101,gl,gauss
0.288125,2.4615625,-131.600150843,101,gl,rdis
0.235,3.2678125,-109.565509857,102,acc,none
0.2084375,3.469375,-110.436353301,102,acc,exp
0.21,3.331875,-109.926027132,102,acc,gauss
0.2084375,3.5053125,-110.724401706,102,acc,rdis
0.235,3.2678125,-109.565509857,102,gl,none
0.2084375,3.469375,-110.436353301,102,gl,exp
0.21,3.331875,-109.926027132,102,gl,gauss
0.2084375,3.5053125,-110.724401706,102,gl,rdis
0.7584375,1.131875,-126.767772188,103,acc,none
0.7584375,1.8490625,-126.801906384,103,acc,exp
0.7584375,1.4553125,-126.828896133,103,acc,gauss
0.6834375,2.2225,-126.881510348,103,acc,rdis
0.7584375,1.131875,-126.767772188,103,gl,none
0.7584375,1.8490625,-126.801906384,103,gl,exp
0.7584375,1.4553125,-126.828896133,103,gl,gauss
0.6834375,2.2225,-126.881510348,103,gl,rdis
0.07875,4.9521875,-70.7533712098,104,acc,none
0.1271875,4.585,-77.4348769828,104,acc,exp
0.1240625,4.51625,-73.9187472085,104,acc,gauss
0.2646875,4.47875,-80.3037242378,104,acc,rdis
0.07875,4.9521875,-70.7533712098,104,gl,none
0.1271875,4.585,-77.4348769828,104,gl,exp
0.1240625,4.51625,-73.9187472085,104,gl,gauss
0.2646875,4.47875,-80.3037242378,104,gl,rdis
0.356875,4.5709375,-23.5796236821,105,acc,none
0.4146875,4.9271875,-34.3391256366,105,acc,exp
0.3584375,4.785,-29.0726985327,105,acc,gauss
0.7396875,4.950625,-39.201673745,105,acc,rdis
0.356875,4.5709375,-23.5796236821,105,gl,none
0.4146875,4.9271875,-34.3391256366,105,gl,exp
0.3584375,4.785,-29.0726985327,105,gl,gauss
0.7396875,4.950625,-39.201673745,105,gl,rdis
0.535,3.6428125,-76.7058400597,106,acc,none
0.5553125,3.6865625,-84.3888729803,106,acc,exp
0.4396875,3.6615625,-80.140439554,106,acc,gauss
0.50375,3.7084375,-88.4687450787,106,acc,rdis
0.535,3.6428125,-76.7058400597,106,gl,none
0.5553125,3.6865625,-84.3888729803,106,gl,exp
0.4396875,3.6615625,-80.140439554,106,gl,gauss
0.50375,3.7084375,-88.4687450787,106,gl,rdis
0.694375,1.744375,-87.542404283,108,acc,none
0.744375,1.97875,-90.6222965287,108,acc,exp
0.731875,1.8740625,-89.1361406785,108,acc,gauss
0.7584375,2.056875,-92.2753575869,108,acc,rdis
0.694375,1.744375,-87.542404283,108,gl,none
0.744375,1.97875,-90.6222965287,108,gl,exp
0.731875,1.8740625,-89.1361406785,108,gl,gauss
0.7584375,2.056875,-92.2753575869,108,gl,rdis
0.26,4.96,-5.49268592254,109,acc,none
0.51625,4.96,-19.5808115524,109,acc,exp
0.41625,4.96,-12.0130519658,109,acc,gauss
0.5646875,4.96,-26.564223012,109,acc,rdis
0.26,4.96,-5.49268592254,109,gl,none
0.51625,4.96,-19.5808115524,109,gl,exp
0.41625,4.96,-12.0130519658,109,gl,gauss
0.5646875,4.96,-26.564223012,109,gl,rdis
0.1678125,4.91625,-35.4334907876,111,acc,none
0.2240625,4.96,-46.0617400041,111,acc,exp
0.1771875,4.9475,-39.8022107568,111,acc,gauss
0.2303125,4.9553125,-51.5564311711,111,acc,rdis
0.1678125,4.91625,-35.4334907876,111,gl,none
0.2240625,4.96,-46.0617400041,111,gl,exp
0.1771875,4.9475,-39.8022107568,111,gl,gauss
0.2303125,4.9553125,-51.5564311711,111,gl,rdis
0.363125,1.906875,-174.143416138,112,acc,none
0.3459375,2.785,-174.393273906,112,acc,exp
0.3396875,2.39125,-174.213979988,112,acc,gauss
0.4271875,3.0521875,-174.194011141,112,acc,rdis
0.363125,1.906875,-174.143416138,112,gl,none
0.3459375,2.785,-174.393273906,112,gl,exp
0.3396875,2.39125,-174.213979988,112,gl,gauss
0.4271875,3.0521875,-174.194011141,112,gl,rdis
0.0725,4.75375,-79.5645950147,113,acc,none
0.113125,4.819375,-85.5681335594,113,acc,exp
0.0725,4.781875,-82.3239436603,113,acc,gauss
0.119375,4.856875,-87.4820207657,113,acc,rdis
0.0725,4.75375,-79.5645950147,113,gl,none
0.113125,4.819375,-85.5681335594,113,gl,exp
0.0725,4.781875,-82.3239436603,113,gl,gauss
0.119375,4.856875,-87.4820207657,113,gl,rdis
0.163125,3.144375,-72.6148883673,114,acc,none
0.1959375,3.6225,-77.230044079,114,acc,exp
0.16625,3.6225,-74.5141815653,114,acc,gauss
0.20375,3.7225,-79.4135963472,114,acc,rdis
0.163125,3.144375,-72.6148883673,114,gl,none
0.1959375,3.6225,-77.230044079,114,gl,exp
0.16625,3.6225,-74.5141815653,114,gl,gauss
0.20375,3.7225,-79.4135963472,114,gl,rdis
0.0365625,1.685,-89.6479521762,115,acc,none
0.0584375,1.7975,-95.2330120666,115,acc,exp
0.0459375,1.8225,-92.0145169276,115,acc,gauss
0.06625,2.01,-97.916163052,115,acc,rdis
0.0365625,1.685,-89.6479521762,115,gl,none
0.0584375,1.7975,-95.2330120666,115,gl,exp
0.0459375,1.8225,-92.0145169276,115,gl,gauss
0.06625,2.01,-97.916163052,115,gl,rdis
0.3803125,1.4834375,-125.448882082,116,acc,none
0.3303125,1.8975,-125.295912575,116,acc,exp
0.3428125,1.6084375,-125.276327834,116,acc,gauss
0.3053125,1.9709375,-125.251988325,116,acc,rdis
0.3803125,1.4834375,-125.448882082,116,gl,none
0.3303125,1.8975,-125.295912575,116,gl,exp
0.3428125,1.6084375,-125.276327834,116,gl,gauss
0.3053125,1.9709375,-125.251988325,116,gl,rdis
0.5459375,3.71,-67.0478389909,117,acc,none
0.5678125,4.41,-77.960412076,117,acc,exp
0.4834375,3.985,-72.0932297211,117,acc,gauss
0.4975,4.76,-83.5551077664,117,acc,rdis
0.5459375,3.71,-67.0478389909,117,gl,none
0.5678125,4.41,-77.960412076,117,gl,exp
0.4834375,3.985,-72.0932297211,117,gl,gauss
0.4975,4.76,-83.5551077664,117,gl,rdis
0.11625,4.3771875,-168.385372065,118,acc,none
0.1475,4.8365625,-169.653636148,118,acc,exp
