alpha,beta,logL,sub,reward,sim
0.3740625,1.669375,-130.000682757,101,acc,none
0.3115625,2.9865625,-132.816038206,101,acc,exp
0.2490625,2.3553125,-132.36807375,101,acc,gauss
0.3115625,2.7803125,-132.588914194,101,acc,rdis
0.3740625,1.669375,-130.000682757,101,gl,none
0.3115625,2.9865625,-132.816038206,101,gl,exp
0.2490625,2.3553125,-132.36807375,101,gl,gauss
0.3115625,2.7803125,-132.588914194,101,gl,rdis
0.235,3.2678125,-109.565509857,102,acc,none
0.206875,3.6053125,-112.382623571,102,acc,exp
0.20375,3.435,-111.194602233,102,acc,gauss
0.1959375,3.5725,-112.064619737,102,acc,rdis
0.235,3.2678125,-109.565509857,102,gl,none
0.206875,3.6053125,-112.382623571,102,gl,exp
0.20375,3.435,-111.194602233,102,gl,gauss
0.1959375,3.5725,-112.064619737,102,gl,rdis
0.7584375,1.131875,-126.767772188,103,acc,none
0.5490625,4.3240625,-127.701513308,103,acc,exp
0.4928125,2.635,-127.010564057,103,acc,gauss
0.5178125,3.5740625,-127.401035679,103,acc,rdis
0.7584375,1.131875,-126.767772188,103,gl,none
0.5490625,4.3240625,-127.701513308,103,gl,exp
0.4928125,2.635,-127.010564057,103,gl,gauss
0.5178125,3.5740625,-127.401035679,103,gl,rdis
0.07875,4.9521875,-70.7533712098,104,acc,none
0.363125,4.64125,-91.36419453,104,acc,exp
0.2646875,4.50375,-80.368918909,104,acc,gauss
0.3334375,4.5725,-86.4460455236,104,acc,rdis
0.07875,4.9521875,-70.7533712098,104,gl,none
0.363125,4.64125,-91.36419453,104,gl,exp
0.2646875,4.50375,-80.368918909,104,gl,gauss
0.3334375,4.5725,-86.4460455236,104,gl,rdis
0.356875,4.5709375,-23.5796236821,105,acc,none
0.7396875,4.96,-60.5725740284,105,acc,exp
0.6975,4.96,-41.0745024093,105,acc,gauss
0.7240625,4.96,-51.4981221892,105,acc,rdis
0.356875,4.5709375,-23.5796236821,105,gl,none
0.7396875,4.96,-60.5725740284,105,gl,exp
0.6975,4.96,-41.0745024093,105,gl,gauss
0.7240625,4.96,-51.4981221892,105,gl,rdis
0.535,3.6428125,-76.7058400597,106,acc,none
0.535,3.7225,-113.953663051,106,acc,exp
0.4225,3.7225,-92.9486720317,106,acc,gauss
0.525625,3.7225,-104.63390501,106,acc,rdis
0.535,3.6428125,-76.7058400597,106,gl,none
0.535,3.7225,-113.953663051,106,gl,exp
0.4225,3.7225,-92.9486720317,106,gl,gauss
0.525625,3.7225,-104.63390501,106,gl,rdis
0.694375,1.744375,-87.542404283,108,acc,none
0.535,2.769375,-102.293884401,108,acc,exp
0.4990625,2.4725,-94.2673200512,108,acc,gauss
0.52875,2.7225,-98.6176908021,108,acc,rdis
0.694375,1.744375,-87.542404283,108,gl,none
0.535,2.769375,-102.293884401,108,gl,exp
0.4990625,2.4725,-94.2673200512,108,gl,gauss
0.52875,2.7225,-98.6176908021,108,gl,rdis
0.26,4.96,-5.49268592254,109,acc,none
0.6334375,4.96,-48.2498106867,109,acc,exp
0.525625,4.96,-26.1658788963,109,acc,gauss
0.59125,4.96,-37.6948602656,109,acc,rdis
0.26,4.96,-5.49268592254,109,gl,none
0.6334375,4.96,-48.2498106867,109,gl,exp
0.525625,4.96,-26.1658788963,109,gl,gauss
0.59125,4.96,-37.6948602656,109,gl,rdis
0.1678125,4.91625,-35.4334907876,111,acc,none
0.4396875,4.96,-76.6080111107,111,acc,exp
0.231875,4.96,-54.080814853,111,acc,gauss
0.3865625,4.96,-66.7253130836,111,acc,rdis
0.1678125,4.91625,-35.4334907876,111,gl,none
0.4396875,4.96,-76.6080111107,111,gl,exp
0.231875,4.96,-54.080814853,111,gl,gauss
0.3865625,4.96,-66.7253130836,111,gl,rdis
0.363125,1.906875,-174.143416138,112,acc,none
0.4209375,4.750625,-174.232994028,112,acc,exp
0.3990625,3.156875,-173.349396335,112,acc,gauss
0.3975,4.3865625,-173.421624145,112,acc,rdis
0.363125,1.906875,-174.143416138,112,gl,none
0.4209375,4.750625,-174.232994028,112,gl,exp
0.3990625,3.156875,-173.349396335,112,gl,gauss
0.3975,4.3865625,-173.421624145,112,gl,rdis
0.0725,4.75375,-79.5645950147,113,acc,none
0.200625,4.96,-99.2248146882,113,acc,exp
0.125625,4.8725,-88.6275727836,113,acc,gauss
0.1725,4.96,-94.7386180037,113,acc,rdis
0.0725,4.75375,-79.5645950147,113,gl,none
0.200625,4.96,-99.2248146882,113,gl,exp
0.125625,4.8725,-88.6275727836,113,gl,gauss
0.1725,4.96,-94.7386180037,113,gl,rdis
0.163125,3.144375,-72.6148883673,114,acc,none
0.4646875,3.7225,-96.6552819231,114,acc,exp
0.206875,3.7225,-83.1470177381,114,acc,gauss
0.3459375,3.7225,-91.2279309821,114,acc,rdis
0.163125,3.144375,-72.6148883673,114,gl,none
0.4646875,3.7225,-96.6552819231,114,gl,exp
0.206875,3.7225,-83.1470177381,114,gl,gauss
0.3459375,3.7225,-91.2279309821,114,gl,rdis
0.0365625,1.685,-89.6479521762,115,acc,none
0.119375,2.485,-113.8679143,115,acc,exp
0.0740625,2.285,-100.272485644,115,acc,gauss
0.1115625,2.425625,-108.234596481,115,acc,rdis
0.0365625,1.685,-89.6479521762,115,gl,none
0.119375,2.485,-113.8679143,115,gl,exp
0.0740625,2.285,-100.272485644,115,gl,gauss
0.1115625,2.425625,-108.234596481,115,gl,rdis
0.3803125,1.4834375,-125.448882082,116,acc,none
0.281875,2.481875,-125.379806018,116,acc,exp
0.2803125,1.8553125,-124.904555609,116,acc,gauss
0.281875,2.2584375,-125.261862416,116,acc,rdis
0.3803125,1.4834375,-125.448882082,116,gl,none
0.281875,2.481875,-125.379806018,116,gl,exp
0.2803125,1.8553125,-124.904555609,116,gl,gauss
0.281875,2.2584375,-125.261862416,116,gl,rdis
0.5459375,3.71,-67.0478389909,117,acc,none
0.463125,4.96,-113.250526074,117,acc,exp
0.3678125,4.96,-89.644760561,117,acc,gauss
0.4428125,4.96,-102.897485385,117,acc,rdis
0.5459375,3.71,-67.0478389909,117,gl,none
0.463125,4.96,-113.250526074,117,gl,exp
0.3678125,4.96,-89.644760561,117,gl,gauss
0.4428125,4.96,-102.897485385,117,gl,rdis
0.11625,4.3771875,-168.385372065,118,acc,none
0.6475,4.96,-176.849114023,118,acc,exp
0.588125,4.894375,-168.795596619,118,acc,gauss
0.6146875,4.9303125,-173.096116518,118,acc,rdis
0.11625,4.3771875,-168.385372065,118,gl,none
0.6475,4.96,-176.849114023,118,gl,exp
0.588125,4.894375,-168.795596619,118,gl,gauss
0.6146875,4.9303125,-173.096116518,118,gl,rdis
