blockindex	stim	cresp	acc	rt	resp	category	width	angle	ignore	gl	ignore2	stimindex	sub	resp1	resp6	cresp6	cresp1
1	tree39.jpg	6	0	0	5	0	0	0	0	0	0	1	101	0	0	1	0
2	tree39.jpg	6	1	0.962321	6	2	71.3283	57	-1	1	0	2	101	0	1	1	0
3	tree11.jpg	1	0	0	5	0	0	0	0	0	0	1	101	0	0	0	1
4	tree11.jpg	1	0	1.068249	6	1	33.4798	59.57	-1	-1	0	2	101	0	1	0	1
5	tree10.jpg	1	0	1.387913	6	1	23.3101	50.51	-1	-1	0	1	101	0	1	0	1
7	tree11.jpg	1	1	1.396708	1	2	70.1967	56.71	-1	1	0	3	101	1	0	0	1
8	tree19.jpg	6	0	1.348987	1	1	52.615	84.05	-1	-1	0	1	101	1	0	1	0
9	tree11.jpg	1	1	0.953948	1	2	80.2631	79.98	-1	1	0	4	101	1	0	0	1
10	tree39.jpg	6	0	1.258753	1	1	58.6281	82.54	-1	-1	0	3	101	1	0	1	0
15	tree18.jpg	1	0	1.154734	6	1	60.9712	82.73	-1	-1	0	1	101	0	1	0	1
16	tree11.jpg	1	1	1.023934	1	2	35.5315	24.82	-1	1	0	5	101	1	0	0	1
17	tree18.jpg	1	0	1.850607	6	1	64.5378	94.6	-1	-1	0	2	101	0	1	0	1
18	tree39.jpg	6	0	1.792342	1	1	63.6909	86.5	-1	-1	0	4	101	1	0	1	0
19	tree18.jpg	1	0	1.497747	6	1	48.2305	72.34	-1	-1	0	3	101	0	1	0	1
20	tree18.jpg	1	0	0.730072	6	1	21.4584	47.84	-1	-1	0	4	101	0	1	0	1
21	tree22.jpg	6	0	0.94476	1	1	35.035	59.41	-1	-1	0	1	101	1	0	1	0
22	tree10.jpg	1	1	1.432206	1	2	47.139	44.05	-1	1	0	2	101	1	0	0	1
23	tree10.jpg	1	1	0.74452	1	2	35.8647	33.68	-1	1	0	3	101	1	0	0	1
26	tree19.jpg	6	1	0.975572	6	2	68.2355	60.11	-1	1	0	2	101	0	1	1	0
27	tree19.jpg	6	1	0.588036	6	2	59.1094	52.35	-1	1	0	3	101	0	1	1	0
28	tree22.jpg	6	0	0.95025	1	1	33.6005	64.1	-1	-1	0	2	101	1	0	1	0
29	tree22.jpg	6	1	0.85058	6	2	72.6268	58.68	-1	1	0	3	101	0	1	1	0
30	tree39.jpg	6	1	0.870733	6	2	54.852	50.75	-1	1	0	5	101	0	1	1	0
31	tree22.jpg	6	1	0.771143	6	2	65.4789	54.09	-1	1	0	4	101	0	1	1	0
